epoch_s,open,high,low,close,volume,barCount,WAP
1074868200,115.0,115.06,115.0,115.04,2722,147,115.037
1074868260,115.05,115.06,115.01,115.05,2402,141,115.041
1074868320,115.05,115.06,114.98,115.05,1319,140,115.005
1074868380,115.03,115.06,114.98,114.98,3308,180,115.026
1074868440,115.0,115.03,114.96,115.0,870,85,114.98
1074868500,115.0,115.03,114.99,115.02,307,87,115.007
1074868560,115.01,115.07,115.01,115.07,431,114,115.032
1074868620,115.03,115.08,115.03,115.05,909,103,115.058
1074868680,115.05,115.06,115.01,115.01,1169,72,115.045
1074868740,115.03,115.04,114.98,115.02,427,50,115.02
1074868800,115.03,115.09,115.01,115.06,218,53,115.054
1074868860,115.05,115.06,114.98,115.05,556,80,115.038
1074868920,115.06,115.11,115.03,115.1,1784,127,115.074
1074868980,115.1,115.16,115.08,115.12,390,74,115.133
1074869040,115.12,115.14,115.06,115.11,1247,95,115.117
1074869100,115.11,115.13,115.09,115.13,2483,57,115.095
1074869160,115.12,115.14,115.09,115.11,1164,20,115.119
1074869220,115.11,115.16,115.11,115.12,437,69,115.132
1074869280,115.13,115.14,115.09,115.09,532,60,115.102
1074869340,115.09,115.11,115.08,115.09,254,41,115.099
1074869400,115.11,115.11,115.03,115.06,419,39,115.072
1074869460,115.06,115.09,115.03,115.07,898,61,115.073
1074869520,115.02,115.08,114.91,114.91,1333,81,115.015
1074869580,114.91,114.99,114.88,114.92,712,90,114.909
1074869640,114.92,114.95,114.88,114.9,949,69,114.929
1074869700,114.93,114.96,114.9,114.95,238,51,114.938
1074869760,114.98,114.99,114.91,114.91,330,42,114.948
1074869820,114.92,114.94,114.86,114.9,340,48,114.926
1074869880,114.9,114.97,114.88,114.89,1261,120,114.904
1074869940,114.93,115.02,114.89,115.0,952,112,114.961
1074870000,115.01,115.04,114.98,115.03,2425,157,115.001
1074870060,115.03,115.03,114.95,114.98,338,56,114.975
1074870120,114.98,115.0,114.95,114.95,365,32,114.977
1074870180,114.97,114.97,114.9,114.92,308,63,114.929
1074870240,114.92,115.03,114.92,115.03,468,67,114.972
1074870300,115.04,115.09,115.01,115.05,377,71,115.036
1074870360,115.03,115.16,115.03,115.15,620,67,115.078
1074870420,115.16,115.25,115.15,115.24,988,137,115.217
1074870480,115.2,115.24,115.17,115.19,569,111,115.2
1074870540,115.2,115.24,115.18,115.21,323,75,115.205
1074870600,115.18,115.29,115.17,115.27,1463,144,115.226
1074870660,115.26,115.31,115.22,115.29,413,71,115.277
1074870720,115.28,115.29,115.24,115.24,414,60,115.25
1074870780,115.24,115.3,115.24,115.3,3393,167,115.265
1074870840,115.27,115.29,115.23,115.27,298,54,115.264
1074870900,115.27,115.31,115.23,115.3,986,92,115.273
1074870960,115.31,115.32,115.25,115.28,502,91,115.28
1074871020,115.28,115.32,115.27,115.29,744,44,115.284
1074871080,115.3,115.33,115.28,115.3,2482,137,115.305
1074871140,115.29,115.31,115.23,115.28,344,62,115.265
1074871200,115.28,115.32,115.26,115.28,710,35,115.308
1074871260,115.28,115.36,115.28,115.32,606,96,115.317
1074871320,115.31,115.33,115.27,115.28,520,63,115.305
1074871380,115.33,115.33,115.27,115.3,189,37,115.289
1074871440,115.29,115.29,115.26,115.28,141,31,115.279
1074871500,115.29,115.3,115.23,115.24,186,44,115.267
1074871560,115.25,115.28,115.25,115.26,729,43,115.262
1074871620,115.26,115.29,115.26,115.27,556,49,115.269
1074871680,115.26,115.28,115.26,115.27,96,12,115.262
1074871740,115.28,115.29,115.26,115.28,177,41,115.275
1074871800,115.28,115.32,115.27,115.3,1584,90,115.284
1074871860,115.28,115.35,115.28,115.32,980,80,115.303
1074871920,115.35,115.37,115.3,115.3,447,74,115.331
1074871980,115.33,115.34,115.26,115.3,859,66,115.283
1074872040,115.32,115.32,115.26,115.26,130,20,115.28
1074872100,115.27,115.27,115.25,115.26,148,16,115.262
1074872160,115.25,115.28,115.21,115.23,227,26,115.232
1074872220,115.23,115.29,115.21,115.28,519,70,115.247
1074872280,115.3,115.32,115.26,115.28,257,41,115.289
1074872340,115.3,115.32,115.26,115.3,1103,21,115.305
1074872400,115.28,115.3,115.26,115.26,61,12,115.278
1074872460,115.29,115.29,115.21,115.23,642,39,115.252
1074872520,115.23,115.25,115.23,115.25,401,51,115.237
1074872580,115.23,115.24,115.21,115.23,1122,28,115.23
1074872640,115.23,115.24,115.21,115.22,172,29,115.22
1074872700,115.22,115.23,115.13,115.15,414,56,115.19
1074872760,115.15,115.18,115.13,115.14,263,49,115.148
1074872820,115.15,115.18,115.13,115.16,935,76,115.148
1074872880,115.18,115.18,115.06,115.08,677,79,115.121
1074872940,115.1,115.11,115.05,115.1,253,52,115.086
1074873000,115.09,115.14,115.08,115.1,207,26,115.094
1074873060,115.11,115.15,114.99,114.99,853,126,115.052
1074873120,115.01,115.01,114.88,114.89,1333,156,114.929
1074873180,114.9,114.98,114.89,114.94,1623,177,114.928
