epoch_s,price,volume,ma_fast,ma_medium,ma_slow,delta_ma_fast,delta_ma_medium,delta_ma_slow,forecast_fast,forecast_medium,forecast_slow
1074870000,115.001,2425,114.96,114.96,115.03,0.022,-0.006,-0.001,-0.072,0.225,0.283
1074870060,114.975,338,114.98,114.95,115.03,0.021,-0.009,-0.002,-0.003,0.302,0.328
1074870120,114.977,365,114.98,114.95,115.03,0.005,-0.003,-0.001,0.059,0.273,0.354
1074870180,114.929,308,114.96,114.95,115.02,-0.021,0.002,-0.003,0.149,0.336,0.354
1074870240,114.972,468,114.96,114.95,115.02,-0.001,0.004,-0,0.245,0.292,0.308
1074870300,115.036,377,114.98,114.96,115.02,0.017,0.009,0.001,0.164,0.237,0.226
1074870360,115.078,620,115.03,114.98,115.02,0.043,0.011,0.001,0.127,0.202,0.154
1074870420,115.217,988,115.11,115.01,115.03,0.071,0.025,0.005,0.009,0.067,0.03
1074870480,115.2,569,115.17,115.03,115.03,0.047,0.026,0.004,0.077,0.105,0.089
1074870540,115.205,323,115.21,115.06,115.04,0.037,0.021,0.005,0.045,0.06,0.1
1074870600,115.226,1463,115.21,115.08,115.05,0.003,0.02,0.005,0.039,0.082,0.052
1074870660,115.277,413,115.24,115.11,115.05,0.022,0.026,0.007,-0.013,0.04,-0.025
1074870720,115.25,414,115.25,115.14,115.06,0.013,0.024,0.005,0.023,0.055,-0.013
1074870780,115.265,3393,115.26,115.17,115.06,0.011,0.029,0.004,0.015,0.024,-0.035
1074870840,115.264,298,115.26,115.2,115.07,-0.004,0.025,0.004,0.02,0.015,-0.044
1074870900,115.273,986,115.27,115.23,115.08,0.007,0.021,0.005,0.032,-0.006,-0.083
1074870960,115.28,502,115.27,115.25,115.08,0.004,0.018,0.005,-0.015,-0.018,-0.132
1074871020,115.284,744,115.28,115.25,115.09,0.006,0.006,0.004,0.024,-0.015,-0.136
1074871080,115.305,2482,115.29,115.26,115.09,0.009,0.009,0.006,0.012,-0.043,-0.184
1074871140,115.265,344,115.28,115.27,115.1,-0.004,0.005,0.005,0.04,0.01,-0.179
1074871200,115.308,710,115.29,115.28,115.11,0.007,0.007,0.007,-0.019,-0.024,-0.214
1074871260,115.317,606,115.3,115.28,115.11,0.003,0.003,0.007,-0.038,-0.014,-0.265
1074871320,115.305,520,115.31,115.29,115.12,0.012,0.005,0.008,-0.038,0.026,-0.376
1074871380,115.289,189,115.3,115.29,115.14,-0.005,0.002,0.011,-0.027,-0.006,-0.361
1074871440,115.279,141,115.29,115.29,115.15,-0.011,0.001,0.01,-0.01,0.001,-0.341
1074871500,115.267,186,115.28,115.29,115.16,-0.011,-0.001,0.01,-0.005,-0.005,-0.337
1074871560,115.262,729,115.27,115.29,115.17,-0.008,-0.002,0.009,0.013,-0.03,-0.345
1074871620,115.269,556,115.27,115.29,115.18,-0.003,-0.001,0.01,0.015,-0.022,-0.339
